date,units_built,units_good,yield
2026-06-01,118,102,0.8644
2026-06-02,131,110,0.8397
2026-06-03,108,90,0.8333
2026-06-04,94,80,0.8511
2026-06-05,122,106,0.8689
2026-06-06,87,76,0.8736
2026-06-07,100,88,0.88
2026-06-08,118,99,0.839
2026-06-09,137,120,0.8759
2026-06-10,98,85,0.8673
2026-06-11,102,90,0.8824
2026-06-12,90,80,0.8889
2026-06-13,90,82,0.9111
2026-06-14,103,92,0.8932
2026-06-15,132,116,0.8788
2026-06-16,115,102,0.887
2026-06-17,119,103,0.8655
2026-06-18,103,89,0.8641
2026-06-19,82,70,0.8537
2026-06-20,101,87,0.8614
2026-06-21,132,118,0.8939
2026-06-22,81,71,0.8765
2026-06-23,103,92,0.8932
2026-06-24,123,112,0.9106
2026-06-25,109,97,0.8899
2026-06-26,117,105,0.8974
2026-06-27,81,71,0.8765
2026-06-28,139,124,0.8921
2026-06-29,100,92,0.92
2026-06-30,112,99,0.8839
2026-07-01,91,83,0.9121
2026-07-02,137,127,0.927
2026-07-03,101,92,0.9109
2026-07-04,123,108,0.878
2026-07-05,104,94,0.9038
2026-07-06,128,116,0.9062
2026-07-07,106,97,0.9151
2026-07-08,138,127,0.9203
2026-07-09,121,108,0.8926
2026-07-10,107,96,0.8972
2026-07-11,139,126,0.9065
2026-07-12,95,85,0.8947
2026-07-13,94,86,0.9149
2026-07-14,126,115,0.9127
2026-07-15,130,124,0.9538
2026-07-16,123,111,0.9024
2026-07-17,134,121,0.903
2026-07-18,131,121,0.9237
2026-07-19,136,127,0.9338
2026-07-20,82,78,0.9512
2026-07-21,116,110,0.9483
2026-07-22,130,122,0.9385
2026-07-23,86,80,0.9302
2026-07-24,100,94,0.94
2026-07-25,88,81,0.9205
2026-07-26,118,109,0.9237
2026-07-27,97,88,0.9072
2026-07-28,83,77,0.9277
2026-07-29,104,99,0.9519
2026-07-30,139,129,0.9281
2026-07-31,93,86,0.9247
2026-08-01,129,120,0.9302
2026-08-02,137,130,0.9489
2026-08-03,88,82,0.9318
2026-08-04,105,100,0.9524
2026-08-05,132,122,0.9242
2026-08-06,81,75,0.9259
2026-08-07,99,93,0.9394
2026-08-08,107,99,0.9252
2026-08-09,126,125,0.9921
2026-08-10,139,130,0.9353
2026-08-11,86,83,0.9651
2026-08-12,123,116,0.9431
2026-08-13,87,82,0.9425
2026-08-14,126,121,0.9603
2026-08-15,114,106,0.9298
2026-08-16,93,88,0.9462
2026-08-17,96,92,0.9583
2026-08-18,115,109,0.9478
2026-08-19,129,122,0.9457
2026-08-20,119,116,0.9748
2026-08-21,83,81,0.9759
2026-08-22,81,78,0.963
2026-08-23,85,82,0.9647
